tf,ind,thr,mode,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,net,L,S
H1,zscore_fib_55,2.17,reversion,1.53,1.91,47.6,59.4,1112,-4.18,-2.8,-9088.0,"(581, 39.76, -3.37, np.float64(-1.64))","(531, 40.11, -5.05, np.float64(-2.34))"
H1,zscore_fib_55,2.17,continuation,1.87,1.87,58.2,58.2,1066,4.09,2.68,1063.3,"(507, 53.45, 5.21, np.float64(2.35))","(559, 53.85, 3.08, np.float64(1.46))"
H1,zscore_fib_55,2.17,continuation,1.87,2.24,58.2,69.7,1025,4.15,2.67,1615.5,"(490, 48.57, 4.3, np.float64(1.92))","(535, 50.09, 4.02, np.float64(1.86))"
H1,zscore_fib_55,2.17,continuation,2.23,2.68,69.4,83.4,975,3.98,2.5,2027.9,"(465, 48.82, 4.54, np.float64(1.97))","(510, 49.22, 3.48, np.float64(1.58))"
H1,zscore_fib_55,2.17,continuation,1.53,1.91,47.6,59.4,1083,4.56,3.02,1402.2,"(516, 48.84, 5.7, np.float64(2.62))","(567, 48.68, 3.51, np.float64(1.68))"
H1,zscore_fib_55,2.63,reversion,1.87,1.87,58.2,58.2,697,-4.66,-2.47,-6548.7,"(370, 46.22, -2.03, np.float64(-0.78))","(327, 43.12, -7.64, np.float64(-2.77))"
H1,zscore_fib_55,2.63,reversion,1.87,2.24,58.2,69.7,690,-4.39,-2.32,-6540.3,"(367, 41.69, -2.58, np.float64(-1.0))","(323, 39.63, -6.45, np.float64(-2.32))"
H1,zscore_fib_55,2.63,reversion,2.23,2.68,69.4,83.4,667,-3.88,-2.01,-6605.1,"(358, 42.46, -1.82, np.float64(-0.69))","(309, 39.48, -6.25, np.float64(-2.21))"
H1,zscore_fib_55,2.63,reversion,1.53,1.91,47.6,59.4,718,-2.72,-1.47,-4767.2,"(381, 42.26, -0.88, np.float64(-0.35))","(337, 40.36, -4.81, np.float64(-1.77))"
H1,zscore_fib_55,2.63,continuation,1.87,1.87,58.2,58.2,697,3.79,2.0,435.3,"(327, 55.66, 7.41, np.float64(2.68))","(370, 51.35, 0.59, np.float64(0.23))"
H1,zscore_fib_55,2.63,continuation,1.87,2.24,58.2,69.7,680,4.76,2.5,1614.2,"(316, 51.9, 7.63, np.float64(2.73))","(364, 48.35, 2.28, np.float64(0.87))"
