signal_bar,entry_bar,exit_bar,entry_price,exit_price,direction,outcome,pnl,bars_held,sl_dist,kelly_w
133779,133780,133783,3989.9900000000002,3967.2290672266313,short,win,22.76093277336895,3,22.76093277336906,1.9979376496007633
133784,133785,133791,3976.53,3952.4758603702653,short,win,24.05413962973489,6,24.054139629734973,1.9979376496007633
133792,133793,133799,3943.29,3918.849203359181,short,win,24.440796640818917,6,18.886070131541977,1.0911996168884093
133804,133805,133809,3909.4300000000003,3930.432819851637,short,loss,-21.00281985163656,4,21.002819851636755,1.0911996168884093
133809,133810,133823,3926.27,3947.578475795379,short,loss,-21.308475795378854,13,21.308475795378726,1.0911996168884093
133850,133851,133856,3936.4500000000003,3955.4233673749877,short,loss,-18.973367374987447,5,18.97336737498764,1.0911996168884093
133868,133869,133884,3953.8300000000004,3978.732827486273,short,loss,-24.9028274862726,15,24.902827486272507,1.9979376496007633
133936,133937,133950,3928.8,3955.7790731694,short,loss,-26.979073169399726,13,26.979073169399587,1.0911996168884093
133950,133951,133958,3956.32,3937.0022317662147,short,win,19.3177682337855,7,23.457289998167926,1.3466613265673728
133958,133959,133962,3935.8300000000004,3915.484911427057,short,win,20.345088572943496,3,24.70475041000279,1.3466613265673728
133962,133963,133967,3928.32,3952.0024554211814,short,loss,-23.682455421181203,4,23.682455421180997,1.0911996168884093
133971,133972,133986,3950.0600000000004,3980.4709150461536,short,loss,-30.41091504615315,14,30.410915046153047,1.9979376496007633
133995,133996,134005,3965.46,3985.61972645521,short,loss,-20.159726455210148,9,20.159726455210226,1.0911996168884093
134013,134014,134037,4001.96,4027.193975128336,long,win,25.23397512833617,23,18.925481346251985,1.566043393557437
134115,134116,134126,4008.5499999999997,3987.081163413182,long,loss,-21.468836586817815,10,21.4688365868177,1.4769866508894283
134360,134361,134369,3963.01,3978.845513921231,short,loss,-15.835513921230813,8,15.835513921230593,1.9979376496007633
134412,134413,134416,3970.8900000000003,3980.7730505652044,short,loss,-9.88305056520403,3,9.883050565204215,1.0911996168884093
134442,134443,134457,4012.3199999999997,4003.9191960019934,long,loss,-8.400803998006268,14,8.40080399800626,1.566043393557437
134526,134527,134543,4007.81,3999.711862033403,long,loss,-8.098137966596823,16,8.098137966596655,1.566043393557437
134586,134587,134594,4010.47,4024.228575040473,long,win,13.75857504047326,7,13.758575040473303,1.4769866508894283
134594,134595,134595,4026.73,4040.2972663414153,long,win,13.567266341415234,0,10.175449756061505,1.566043393557437
134595,134596,134612,4047.93,4064.1096044598858,long,win,16.179604459885923,16,12.134703344914275,1.566043393557437
134612,134613,134616,4062.73,4075.7939481920357,long,win,13.063948192035696,3,9.797961144026726,1.566043393557437
134620,134621,134638,4075.5,4088.318920196069,long,win,12.81892019606903,17,9.614190147051682,1.566043393557437
134644,134645,134646,4098.24,4088.8959839705094,long,loss,-9.344016029490376,1,9.344016029490591,1.566043393557437
134646,134647,134648,4086.8999999999996,4076.9657208725307,long,loss,-9.934279127468926,1,9.934279127468944,1.566043393557437
134648,134649,134656,4080.77,4094.711450153349,long,win,13.941450153348796,7,13.941450153348669,1.4769866508894283
134656,134657,134663,4091.12,4105.4116331939895,long,win,14.291633193989583,6,14.29163319398991,1.4769866508894283
134663,134664,134684,4114.099999999999,4127.478784553739,long,win,13.378784553739933,20,10.034088415305247,1.566043393557437
134684,134685,134688,4129.429999999999,4139.482712181106,long,win,10.052712181106472,3,7.539534135830051,1.566043393557437
134689,134690,134696,4136.29,4147.148011996229,long,win,10.858011996228925,6,8.143508997171521,1.566043393557437
134698,134699,134702,4143.12,4135.007891149801,long,loss,-8.112108850198638,3,8.1121088501983,1.566043393557437
134703,134704,134704,4136.16,4127.922914687116,long,loss,-8.237085312884119,0,8.237085312884306,1.566043393557437
134706,134707,134713,4134.01,4124.7506408774025,long,loss,-9.259359122597743,6,9.259359122597331,1.566043393557437
134713,134714,134718,4129.61,4141.909642576703,long,win,12.299642576703263,4,12.299642576703324,1.4769866508894283
134722,134723,134739,4141.19,4129.548295953437,long,loss,-11.641704046562154,16,11.641704046561735,1.4769866508894283
134761,134762,134771,4123.03,4135.549865842903,long,win,12.519865842903528,9,9.389899382177743,1.566043393557437
134771,134772,134778,4138.41,4127.627521496689,long,loss,-10.782478503310813,6,10.782478503310484,1.4769866508894283
134778,134779,134784,4134.91,4125.966727055811,long,loss,-8.94327294418872,5,8.943272944188761,1.566043393557437
134802,134803,134824,4124.58,4138.1340459335715,long,win,13.554045933571615,21,13.55404593357136,1.4769866508894283
134824,134825,134826,4134.4,4124.581984826312,long,loss,-9.818015173687854,1,9.818015173687822,1.566043393557437
134826,134827,134833,4125.7,4139.210235131654,long,win,13.510235131654554,6,10.13267634874109,1.566043393557437
134833,134834,134834,4136.67,4151.547168523994,long,win,14.877168523993532,0,11.157876392994885,1.566043393557437
134834,134835,134836,4161.59,4179.334513629422,long,win,17.744513629421817,1,13.3083852220667,1.566043393557437
134836,134837,134842,4179.08,4198.103381649859,long,win,19.023381649859402,5,14.2675362373943,1.566043393557437
