signal_bar,entry_bar,exit_bar,entry_price,exit_price,direction,outcome,pnl,bars_held,sl_dist,kelly_w
173752,173753,173754,1.16434,1.165238521144382,long,win,0.0008985211443821584,1,0.0008639626388289767,1.0906028575671047
173757,173758,173760,1.1663,1.165463467523653,long,loss,-0.0008365324763468518,2,0.0008365324763467904,1.0906028575671047
173760,173761,173772,1.16557,1.166410347421485,long,win,0.0008403474214850881,11,0.0008080263668126591,1.0906028575671047
173773,173774,173774,1.16722,1.1679866376411738,long,win,0.0007666376411739062,0,0.0007371515780519071,1.0906028575671047
173778,173779,173780,1.16846,1.1677022698998751,long,loss,-0.0007577301001249204,1,0.0007577301001250135,1.0906028575671047
173780,173781,173781,1.16761,1.1668595847606065,long,loss,-0.0007504152393935648,0,0.0007504152393935265,1.0906028575671047
173786,173787,173788,1.16878,1.1696114829211908,long,win,0.0008314829211908403,1,0.0007995028088373226,1.0906028575671047
173791,173792,173792,1.16948,1.1685198374116783,long,loss,-0.0009601625883217668,0,0.0009601625883218748,1.0906028575671047
173794,173795,173800,1.16831,1.1673879875340585,long,loss,-0.0009220124659414797,5,0.0009220124659413853,1.0906028575671047
173819,173820,173821,1.17151,1.1702511150348702,long,loss,-0.001258884965129825,1,0.001258884965129917,1.0906028575671047
173830,173831,173836,1.17148,1.1699916107319817,long,loss,-0.0014883892680184196,5,0.001488389268018456,1.0906028575671047
173905,173906,173908,1.17148,1.1703737217083587,long,loss,-0.0011062782916413383,2,0.0011062782916413617,1.0906028575671047
173956,173957,173964,1.17229,1.1734559803199178,long,win,0.0011659803199177698,7,0.0011211349229977505,1.0906028575671047
180010,180011,180026,1.17415,1.1749793257692103,short,loss,-0.0008293257692102429,15,0.0008293257692102344,1.1729125860688177
180048,180049,180052,1.1737,1.1748898376449795,short,loss,-0.0011898376449794856,3,0.0011898376449795932,1.1729125860688177
180053,180054,180066,1.17404,1.172446590386222,short,win,0.001593409613777963,12,0.001348269673196818,1.1729125860688177
180114,180115,180122,1.16652,1.1676795385809846,short,loss,-0.0011595385809846093,7,0.0011595385809846576,1.1729125860688177
180153,180154,180162,1.16702,1.168256444715143,short,loss,-0.001236444715142948,8,0.0012364447151429461,1.1729125860688177
180615,180616,180617,1.1715200000000001,1.1725048078790972,short,loss,-0.0009848078790970494,1,0.0009848078790969479,1.1729125860688177
180712,180713,180715,1.17052,1.1690458851583865,short,win,0.0014741148416135275,2,0.0012473279429037881,1.1729125860688177
180717,180718,180718,1.17079,1.168915893746119,short,win,0.0018741062538809583,0,0.0015857822148223045,1.1729125860688177
180718,180719,180739,1.16661,1.1687849406280493,short,loss,-0.002174940628049349,20,0.0021749406280492786,1.1729125860688177
180741,180742,180746,1.16867,1.1705995767137665,short,loss,-0.0019295767137663677,4,0.0019295767137662665,1.1729125860688177
180802,180803,180808,1.16972,1.1685526905346142,short,win,0.0011673094653859017,5,0.0009877233937881126,1.1729125860688177
180853,180854,180860,1.16714,1.1653899242012515,short,win,0.0017500757987485294,6,0.0014808333681717507,1.1729125860688177
180860,180861,180884,1.1652,1.1635679794906821,short,win,0.0016320205093178775,23,0.0013809404309612656,1.1729125860688177
