entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction
27675,27678,-163.8200000000006,loss,160.52000000000058,160.52000000000058,2,long
27732,27736,46.20000000000046,win,160.52000000000058,160.52000000000058,0,long
27811,27815,11.399999999997998,win,160.52000000000058,160.52000000000058,0,long
27818,27822,-3.0000000000002727,loss,160.52000000000058,160.52000000000058,0,long
27836,27840,-14.49999999999891,loss,160.52000000000058,160.52000000000058,0,long
27935,27939,36.79999999999991,win,160.52000000000058,160.52000000000058,0,long
28300,28304,21.200000000000454,win,160.52000000000058,160.52000000000058,0,long
29134,29138,-103.69999999999963,loss,160.52000000000058,160.52000000000058,0,long
29425,29429,-2.2999999999986356,loss,160.52000000000058,160.52000000000058,0,long
31824,31828,39.000000000000185,win,160.52000000000058,160.52000000000058,0,long
31912,31914,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long
32003,32007,22.69999999999909,win,160.52000000000058,160.52000000000058,0,long
32283,32285,-163.8200000000006,loss,160.52000000000058,160.52000000000058,2,long
32362,32366,-12.40000000000082,loss,160.52000000000058,160.52000000000058,0,long
32472,32476,24.799999999999454,win,160.52000000000058,160.52000000000058,0,long
32653,32657,23.00000000000109,win,160.52000000000058,160.52000000000058,0,long
32731,32735,36.400000000000276,win,160.52000000000058,160.52000000000058,0,long
32825,32829,62.89999999999891,win,160.52000000000058,160.52000000000058,0,long
32913,32916,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long
33214,33218,-15.000000000000728,loss,160.52000000000058,160.52000000000058,0,long
33285,33289,-0.9999999999998179,loss,160.52000000000058,160.52000000000058,0,long
33450,33454,-9.400000000001274,loss,160.52000000000058,160.52000000000058,0,long
33458,33462,39.899999999999366,win,160.52000000000058,160.52000000000058,0,long
33474,33478,26.000000000000636,win,160.52000000000058,160.52000000000058,0,long
33574,33578,-1.5999999999992722,loss,160.52000000000058,160.52000000000058,0,long
33881,33885,18.700000000000454,win,160.52000000000058,160.52000000000058,0,long
33889,33893,-72.00000000000118,loss,160.52000000000058,160.52000000000058,0,long
33947,33951,-26.100000000002,loss,160.52000000000058,160.52000000000058,0,long
34141,34142,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long
34218,34222,-94.60000000000109,loss,160.52000000000058,160.52000000000058,0,long
34774,34778,1.7999999999999092,win,160.52000000000058,160.52000000000058,0,long
35232,35236,-79.29999999999909,loss,160.52000000000058,160.52000000000058,0,long
36991,36995,-34.599999999998815,loss,160.52000000000058,160.52000000000058,0,long
39770,39774,13.400000000000727,win,160.52000000000058,160.52000000000058,0,long
40876,40880,-29.099999999999273,loss,160.52000000000058,160.52000000000058,0,long
43343,43347,-130.8,loss,160.52000000000058,160.52000000000058,0,long
46933,46937,68.50000000000064,win,160.52000000000058,160.52000000000058,0,long
50042,50046,1.1999999999981812,win,160.52000000000058,160.52000000000058,0,long
50323,50327,-32.89999999999809,loss,160.52000000000058,160.52000000000058,0,long
50601,50605,-6.199999999999636,loss,160.52000000000058,160.52000000000058,0,long
53259,53263,13.299999999998544,win,160.52000000000058,160.52000000000058,0,long
53859,53863,21.000000000000636,win,160.52000000000058,160.52000000000058,0,long
53870,53874,-4.300000000001364,loss,160.52000000000058,160.52000000000058,0,long
53975,53979,4.7999999999994545,win,160.52000000000058,160.52000000000058,0,long
53986,53990,11.000000000000636,win,160.52000000000058,160.52000000000058,0,long
54099,54103,21.7,win,160.52000000000058,160.52000000000058,0,long
54128,54132,-62.90000000000036,loss,160.52000000000058,160.52000000000058,0,long
54339,54343,7.599999999999182,win,160.52000000000058,160.52000000000058,0,long
54355,54359,5.099999999999182,win,160.52000000000058,160.52000000000058,0,long
54467,54471,43.40000000000073,win,160.52000000000058,160.52000000000058,0,long
54494,54498,49.59999999999964,win,160.52000000000058,160.52000000000058,0,long
54543,54547,22.300000000001727,win,160.52000000000058,160.52000000000058,0,long
54633,54637,94.69999999999955,win,160.52000000000058,160.52000000000058,0,long
55090,55094,-26.599999999999273,loss,160.52000000000058,160.52000000000058,0,long
