entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction,t_entry,t_exit,src_card
404851,404855,-31.900000000001274,loss,160.52000000000058,160.52000000000058,0,long,1664564400000000000,1664568000000000000,XAUUSD-M15
405132,405136,38.499999999998366,win,160.52000000000058,160.52000000000058,0,long,1664817300000000000,1664820900000000000,XAUUSD-M15
405224,405228,32.09999999999964,win,160.52000000000058,160.52000000000058,0,long,1664900100000000000,1664903700000000000,XAUUSD-M15
405313,405321,18.900000000000272,win,307.89599999999876,307.89599999999876,0,long,1664980200000000000,1664987400000000000,XAUUSD-M30
405426,405430,32.20000000000182,win,160.52000000000058,160.52000000000058,0,long,1665081900000000000,1665085500000000000,XAUUSD-M15
405513,405517,5.399999999998909,win,160.52000000000058,160.52000000000058,0,long,1665160200000000000,1665163800000000000,XAUUSD-M15
405804,405808,-53.89999999999945,loss,160.52000000000058,160.52000000000058,0,long,1665422100000000000,1665425700000000000,XAUUSD-M15
405906,405910,-12.000000000001183,loss,160.52000000000058,160.52000000000058,0,long,1665513900000000000,1665517500000000000,XAUUSD-M15
405918,405922,-12.900000000000365,loss,160.52000000000058,160.52000000000058,0,long,1665524700000000000,1665528300000000000,XAUUSD-M15
406089,406093,29.399999999999817,win,160.52000000000058,160.52000000000058,0,long,1665678600000000000,1665682200000000000,XAUUSD-M15
406095,406103,106.89999999999982,win,307.89599999999876,307.89599999999876,0,long,1665684000000000000,1665691200000000000,XAUUSD-M30
406138,406142,-0.699999999997817,loss,160.52000000000058,160.52000000000058,0,long,1665722700000000000,1665726300000000000,XAUUSD-M15
406178,406182,79.79999999999946,win,160.52000000000058,160.52000000000058,0,long,1665758700000000000,1665762300000000000,XAUUSD-M15
406859,406863,3.600000000000546,win,160.52000000000058,160.52000000000058,0,long,1666371600000000000,1666375200000000000,XAUUSD-M15
407534,407538,-32.30000000000091,loss,160.52000000000058,160.52000000000058,0,long,1666979100000000000,1666982700000000000,XAUUSD-M15
408028,408032,-42.199999999998724,loss,160.52000000000058,160.52000000000058,0,long,1667423700000000000,1667427300000000000,XAUUSD-M15
408104,408108,25.499999999998817,win,160.52000000000058,160.52000000000058,0,long,1667492100000000000,1667495700000000000,XAUUSD-M15
408201,408205,-18.70000000000191,loss,160.52000000000058,160.52000000000058,0,long,1667579400000000000,1667583000000000000,XAUUSD-M15
408775,408779,70.09999999999918,win,160.52000000000058,160.52000000000058,0,long,1668096000000000000,1668099600000000000,XAUUSD-M15
408783,408791,24.799999999999454,win,307.89599999999876,307.89599999999876,0,long,1668103200000000000,1668110400000000000,XAUUSD-M30
408850,408854,-17.100000000001092,loss,160.52000000000058,160.52000000000058,0,long,1668163500000000000,1668167100000000000,XAUUSD-M15
408873,408881,24.699999999999545,win,307.89599999999876,307.89599999999876,0,long,1668184200000000000,1668191400000000000,XAUUSD-M30
409099,409103,-0.10000000000063647,loss,160.52000000000058,160.52000000000058,0,long,1668387600000000000,1668391200000000000,XAUUSD-M15
409163,409167,-64.90000000000082,loss,160.52000000000058,160.52000000000058,0,long,1668445200000000000,1668448800000000000,XAUUSD-M15
409263,409267,-31.199999999999637,loss,160.52000000000058,160.52000000000058,0,long,1668535200000000000,1668538800000000000,XAUUSD-M15
409273,409281,2.1999999999995454,win,307.89599999999876,307.89599999999876,0,long,1668544200000000000,1668551400000000000,XAUUSD-M30
410717,410721,40.79999999999855,win,160.52000000000058,160.52000000000058,0,long,1669843800000000000,1669847400000000000,XAUUSD-M15
411951,411955,-17.000000000001183,loss,160.52000000000058,160.52000000000058,0,long,1670954400000000000,1670958000000000000,XAUUSD-M15
412064,412068,9.10000000000009,win,160.52000000000058,160.52000000000058,0,long,1671056100000000000,1671059700000000000,XAUUSD-M15
412134,412138,62.89999999999891,win,160.52000000000058,160.52000000000058,0,long,1671119100000000000,1671122700000000000,XAUUSD-M15
413961,413965,-163.8200000000006,loss,160.52000000000058,160.52000000000058,2,long,1672763400000000000,1672767000000000000,XAUUSD-M15
414060,414064,-1.9999999999989084,loss,160.52000000000058,160.52000000000058,0,long,1672852500000000000,1672856100000000000,XAUUSD-M15
414153,414157,-85.60000000000018,loss,160.52000000000058,160.52000000000058,0,long,1672936200000000000,1672939800000000000,XAUUSD-M15
414251,414259,37.69999999999909,win,307.89599999999876,307.89599999999876,0,long,1673024400000000000,1673031600000000000,XAUUSD-M30
414825,414829,17.700000000001364,win,160.52000000000058,160.52000000000058,0,long,1673541000000000000,1673544600000000000,XAUUSD-M15
414927,414931,16.7,win,160.52000000000058,160.52000000000058,0,long,1673632800000000000,1673636400000000000,XAUUSD-M15
415412,415416,15.299999999998999,win,160.52000000000058,160.52000000000058,0,long,1674069300000000000,1674072900000000000,XAUUSD-M15
416174,416178,7.099999999999636,win,160.52000000000058,160.52000000000058,0,long,1674755100000000000,1674758700000000000,XAUUSD-M15
416653,416657,-2.1999999999987265,loss,160.52000000000058,160.52000000000058,0,long,1675186200000000000,1675189800000000000,XAUUSD-M15
416766,416770,101.30000000000037,win,160.52000000000058,160.52000000000058,0,long,1675287900000000000,1675291500000000000,XAUUSD-M15
416841,416849,-31.599999999999273,loss,307.89599999999876,307.89599999999876,0,long,1675355400000000000,1675362600000000000,XAUUSD-M30
416933,416941,-140.2999999999982,loss,307.89599999999876,307.89599999999876,0,long,1675438200000000000,1675445400000000000,XAUUSD-M30
417224,417228,-41.79999999999909,loss,160.52000000000058,160.52000000000058,0,long,1675700100000000000,1675703700000000000,XAUUSD-M15
417330,417334,57.89999999999891,win,160.52000000000058,160.52000000000058,0,long,1675795500000000000,1675799100000000000,XAUUSD-M15
417391,417399,-21.599999999999273,loss,307.89599999999876,307.89599999999876,0,long,1675850400000000000,1675857600000000000,XAUUSD-M30
