entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction,t_entry,t_exit,src_card
5739,5763,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1421755200000000000,1422273600000000000,XAUUSD-H6
6192,6242,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1431540000000000000,1432620000000000000,XAUUSD-H6
6584,6589,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1440007200000000000,1440115200000000000,XAUUSD-H6
6592,6607,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1440180000000000000,1440504000000000000,XAUUSD-H6
6728,6742,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1443117600000000000,1443420000000000000,XAUUSD-H6
6787,6808,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1444392000000000000,1444845600000000000,XAUUSD-H6
7144,7176,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1452103200000000000,1452794400000000000,XAUUSD-H6
7220,7251,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1453744800000000000,1454414400000000000,XAUUSD-H6
7253,7259,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1454457600000000000,1454587200000000000,XAUUSD-H6
7264,7275,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1454695200000000000,1454932800000000000,XAUUSD-H6
7284,7287,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1455127200000000000,1455192000000000000,XAUUSD-H6
7372,7395,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1457028000000000000,1457524800000000000,XAUUSD-H6
7401,7403,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1457654400000000000,1457697600000000000,XAUUSD-H6
7596,7599,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1461866400000000000,1461931200000000000,XAUUSD-H6
7779,7790,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1465819200000000000,1466056800000000000,XAUUSD-H6
7823,7851,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1466769600000000000,1467374400000000000,XAUUSD-H6
7869,7875,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1467763200000000000,1467892800000000000,XAUUSD-H6
8353,8367,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1478217600000000000,1478520000000000000,XAUUSD-H6
8604,8630,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1483639200000000000,1484200800000000000,XAUUSD-H6
8646,8687,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1484546400000000000,1485432000000000000,XAUUSD-H6
8715,8739,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1486036800000000000,1486555200000000000,XAUUSD-H6
8800,8828,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1487872800000000000,1488477600000000000,XAUUSD-H6
8926,8941,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1490594400000000000,1490918400000000000,XAUUSD-H6
8970,8983,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1491544800000000000,1491825600000000000,XAUUSD-H6
8988,9068,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1491933600000000000,1493661600000000000,XAUUSD-H6
9177,9210,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1496016000000000000,1496728800000000000,XAUUSD-H6
9429,9515,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1501459200000000000,1503316800000000000,XAUUSD-H6
9541,9569,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1503878400000000000,1504483200000000000,XAUUSD-H6
9572,9586,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1504548000000000000,1504850400000000000,XAUUSD-H6
9868,9880,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1510941600000000000,1511200800000000000,XAUUSD-H6
9907,9918,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1511784000000000000,1512021600000000000,XAUUSD-H6
10034,10053,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1514527200000000000,1514937600000000000,XAUUSD-H6
10055,10101,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1514980800000000000,1515974400000000000,XAUUSD-H6
10139,10160,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1516795200000000000,1517248800000000000,XAUUSD-H6
10370,10392,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1521784800000000000,1522260000000000000,XAUUSD-H6
11180,11296,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1539280800000000000,1541786400000000000,XAUUSD-H6
11394,11460,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1543903200000000000,1545328800000000000,XAUUSD-H6
11474,11510,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1545631200000000000,1546408800000000000,XAUUSD-H6
11513,11619,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1546473600000000000,1548763200000000000,XAUUSD-H6
11625,11653,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1548892800000000000,1549497600000000000,XAUUSD-H6
11698,11742,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1550469600000000000,1551420000000000000,XAUUSD-H6
12108,12126,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1559325600000000000,1559714400000000000,XAUUSD-H6
12131,12151,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1559822400000000000,1560254400000000000,XAUUSD-H6
12161,12185,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1560470400000000000,1560988800000000000,XAUUSD-H6
12192,12205,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1561140000000000000,1561420800000000000,XAUUSD-H6
12301,12303,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1563494400000000000,1563537600000000000,XAUUSD-H6
12360,12371,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1564768800000000000,1565006400000000000,XAUUSD-H6
12373,12377,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1565049600000000000,1565136000000000000,XAUUSD-H6
12382,12400,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1565244000000000000,1565632800000000000,XAUUSD-H6
12409,12415,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1565827200000000000,1565956800000000000,XAUUSD-H6
12444,12453,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1566583200000000000,1566777600000000000,XAUUSD-H6
12466,12468,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1567058400000000000,1567101600000000000,XAUUSD-H6
12488,12495,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1567533600000000000,1567684800000000000,XAUUSD-H6
12720,12739,loss,-152.0957907708069,152.0957907708069,228.14368615621038,long,1572544800000000000,1572955200000000000,XAUUSD-H6
12917,12941,win,228.14368615621038,152.0957907708069,228.14368615621038,long,1576800000000000000,1577318400000000000,XAUUSD-H6
