signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,bar_dt
779326,779327,779330,long,1937.3,1938.8300000000002,win,12.000000000002,80.0,3,2022-03-18 13:05:00
779489,779490,779492,long,1927.52,1927.92,win,0.7000000000009097,80.0,2,2022-03-21 03:40:00
779589,779590,779593,long,1926.76,1928.02,win,9.299999999999908,80.0,3,2022-03-21 12:00:00
779637,779638,779640,long,1934.28,1934.3000000000002,loss,-3.099999999997908,80.0,2,2022-03-21 16:00:00
779690,779691,779693,long,1932.54,1933.94,win,10.700000000000909,80.0,2,2022-03-21 20:25:00
779740,779741,779743,long,1936.37,1935.8300000000002,loss,-8.699999999997363,80.0,2,2022-03-22 01:35:00
779788,779789,779792,long,1936.82,1937.0700000000002,loss,-0.7999999999977261,80.0,3,2022-03-22 05:35:00
780048,780049,780052,long,1922.59,1922.8300000000002,loss,-0.8999999999976351,80.0,3,2022-03-23 04:15:00
780124,780125,780127,long,1922.82,1924.1100000000001,win,9.60000000000191,80.0,2,2022-03-23 10:35:00
780177,780178,780180,long,1931.83,1932.3000000000002,win,1.4000000000025468,80.0,2,2022-03-23 15:00:00
780225,780226,780228,long,1935.84,1936.71,win,5.4000000000011825,80.0,2,2022-03-23 19:00:00
780282,780283,780287,long,1944.99,1945.3400000000001,win,0.20000000000136442,80.0,4,2022-03-24 00:45:00
780395,780396,780423,long,1945.63,1946.43,win,4.699999999999545,80.0,27,2022-03-24 10:10:00
780458,780459,780461,long,1953.53,1956.3000000000002,win,24.40000000000209,80.0,2,2022-03-24 15:25:00
780507,780508,780510,long,1963.62,1964.02,win,0.7000000000009097,80.0,2,2022-03-24 19:30:00
780563,780564,780566,long,1959.14,1958.9,loss,-5.700000000000091,80.0,2,2022-03-25 01:10:00
780611,780612,780614,long,1962.41,1962.3700000000001,loss,-3.699999999999636,80.0,2,2022-03-25 05:10:00
780824,780825,780827,long,1956.53,1956.13,loss,-7.299999999998636,80.0,2,2022-03-25 22:55:00
781352,781353,781355,long,1916.92,1917.3300000000002,win,0.8000000000008187,80.0,2,2022-03-29 21:55:00
781415,781416,781418,long,1919.86,1922.14,win,19.500000000002,80.0,2,2022-03-30 04:10:00
781466,781467,781469,long,1924.11,1924.5500000000002,win,1.1000000000028196,80.0,2,2022-03-30 08:25:00
781547,781548,781550,long,1927.1,1929.27,win,18.400000000000727,80.0,2,2022-03-30 15:10:00
781595,781596,781640,long,1935.63,1935.1100000000001,loss,-8.499999999999819,80.0,44,2022-03-30 19:10:00
781646,781647,781677,long,1933.74,1933.25,loss,-8.200000000000092,80.0,30,2022-03-30 23:25:00
781768,781769,781777,long,1933.63,1925.63,loss,-83.3,80.0,8,2022-03-31 10:35:00
781817,781818,781820,long,1931.05,1930.94,loss,-4.399999999998999,80.0,2,2022-03-31 14:40:00
781865,781866,781883,long,1944.65,1945.88,win,9.000000000000181,80.0,17,2022-03-31 18:40:00
781969,781970,781974,long,1936.09,1937.75,win,13.300000000000818,80.0,4,2022-04-01 04:20:00
782025,782026,782039,long,1938.08,1930.08,loss,-83.3,80.0,13,2022-04-01 09:00:00
782296,782297,782299,long,1923.99,1924.1200000000001,loss,-1.9999999999989084,80.0,2,2022-04-04 09:35:00
782349,782350,782353,long,1929.36,1929.77,win,0.8000000000008187,80.0,3,2022-04-04 14:00:00
782399,782400,782402,long,1933.21,1933.96,win,4.2,80.0,2,2022-04-04 18:10:00
782447,782448,782450,long,1931.65,1931.7900000000002,loss,-1.8999999999989994,80.0,2,2022-04-04 22:10:00
782575,782576,782623,long,1933.12,1928.33,loss,-51.19999999999963,80.0,47,2022-04-05 09:50:00
782645,782646,782648,long,1932.68,1934.23,win,12.199999999999545,80.0,2,2022-04-05 15:40:00
782869,782870,782872,long,1923.78,1923.75,loss,-3.599999999999727,80.0,2,2022-04-06 11:20:00
782931,782932,782937,long,1930.5,1931.1200000000001,win,2.9000000000011825,80.0,5,2022-04-06 16:30:00
783047,783048,783051,long,1924.75,1926.52,win,14.399999999999817,80.0,3,2022-04-07 03:10:00
783125,783126,783128,long,1925.4,1925.26,loss,-4.700000000001,80.0,2,2022-04-07 09:40:00
783173,783174,783179,long,1927.04,1926.9,loss,-4.6999999999987265,80.0,5,2022-04-07 13:40:00
783222,783223,783225,long,1936.48,1936.88,win,0.7000000000009097,80.0,2,2022-04-07 17:45:00
783270,783271,783273,long,1932.39,1933.5500000000002,win,8.300000000000818,80.0,2,2022-04-07 21:45:00
783320,783321,783323,long,1932.81,1933.2,win,0.6000000000010006,80.0,2,2022-04-08 02:55:00
783442,783443,783445,long,1932.91,1933.21,loss,-0.30000000000045457,80.0,2,2022-04-08 13:05:00
783490,783491,783493,long,1944.8,1945.7,win,5.70000000000091,80.0,2,2022-04-08 17:05:00
783538,783539,783544,long,1942.95,1942.66,loss,-6.199999999999636,80.0,5,2022-04-08 21:05:00
783676,783677,783680,long,1946.31,1945.94,loss,-6.999999999998908,80.0,3,2022-04-11 10:35:00
783726,783727,783729,long,1959.52,1960.8300000000002,win,9.800000000001727,80.0,2,2022-04-11 14:45:00
783852,783853,783857,long,1952.75,1953.49,win,4.100000000000091,80.0,4,2022-04-12 02:15:00
783901,783902,783906,long,1956.69,1958.44,win,14.2,80.0,4,2022-04-12 06:20:00
784006,784007,784009,long,1958.27,1959.01,win,4.100000000000091,80.0,2,2022-04-12 15:05:00
784054,784055,784057,long,1972.79,1975.0300000000002,win,19.100000000002364,80.0,2,2022-04-12 19:05:00
784157,784158,784160,long,1967.2,1967.98,win,4.499999999999727,80.0,2,2022-04-13 04:40:00
784205,784206,784237,long,1973.1,1974.47,win,10.400000000001182,80.0,31,2022-04-13 08:40:00
784253,784254,784256,long,1977.28,1976.88,loss,-7.299999999998636,80.0,2,2022-04-13 12:40:00
784303,784304,784306,long,1975.93,1976.5400000000002,win,2.8000000000012735,80.0,2,2022-04-13 16:50:00
784351,784352,784355,long,1979.23,1979.3000000000002,loss,-2.5999999999983627,80.0,3,2022-04-13 20:50:00
784406,784407,784409,long,1978.41,1978.3300000000002,loss,-4.099999999999272,80.0,2,2022-04-14 02:25:00
784504,784505,784521,long,1977.54,1969.54,loss,-83.3,80.0,16,2022-04-14 10:35:00
784558,784559,784564,long,1979.08,1971.08,loss,-83.3,80.0,5,2022-04-14 15:05:00
784675,784676,784678,long,1978.03,1978.95,win,5.900000000000728,80.0,2,2022-04-18 01:50:00
784752,784753,784755,long,1986.14,1986.6200000000001,win,1.500000000000182,80.0,2,2022-04-18 08:15:00
784801,784802,784804,long,1993.29,1992.8700000000001,loss,-7.499999999998454,80.0,2,2022-04-18 12:20:00
784849,784850,784852,long,1993.07,1992.5400000000002,loss,-8.599999999997454,80.0,2,2022-04-18 16:20:00
785054,785055,785058,long,1979.53,1979.94,win,0.8000000000008187,80.0,3,2022-04-19 10:25:00
785107,785108,785110,long,1979.59,1979.3400000000001,loss,-5.799999999997726,80.0,2,2022-04-19 14:50:00
