n,wr,be,lift,z,sl_pip,tp_pip,net_pip,tf,ind,thr,mode,sl_atr,tp_atr
4001,49.84,50.0,-0.16,-0.21,19.1,19.1,-13451.6,M15,trendflex,1.46,continuation,1.31,1.31
3977,45.59,44.73,0.86,1.09,19.1,23.6,-11669.7,M15,trendflex,1.46,continuation,1.31,1.62
3910,51.3,50.0,1.3,1.63,27.3,27.3,-10118.4,M15,trendflex,1.46,continuation,1.87,1.87
3853,46.64,45.5,1.14,1.42,27.3,32.7,-10081.8,M15,trendflex,1.46,continuation,1.87,2.24
4001,47.44,50.0,-2.56,-3.24,19.1,19.1,-17118.8,M15,trendflex,1.46,reversion,1.31,1.31
3993,42.75,44.73,-1.98,-2.52,19.1,23.6,-16554.3,M15,trendflex,1.46,reversion,1.31,1.62
3910,47.67,50.0,-2.33,-2.91,27.3,27.3,-17871.6,M15,trendflex,1.46,reversion,1.87,1.87
3877,43.69,45.5,-1.81,-2.26,27.3,32.7,-16996.2,M15,trendflex,1.46,reversion,1.87,2.24
2836,50.42,50.0,0.42,0.45,19.1,19.1,-8900.4,M15,trendflex,1.73,continuation,1.31,1.31
2831,45.88,44.73,1.15,1.24,19.1,23.6,-7947.1,M15,trendflex,1.73,continuation,1.31,1.62
2818,51.45,50.0,1.45,1.54,27.3,27.3,-7082.1,M15,trendflex,1.73,continuation,1.87,1.87
2801,47.38,45.5,1.88,1.99,27.3,32.7,-6082.3,M15,trendflex,1.73,continuation,1.87,2.24
2836,46.58,50.0,-3.42,-3.64,19.1,19.1,-13064.2,M15,trendflex,1.73,reversion,1.31,1.31
2835,41.73,44.73,-3.0,-3.22,19.1,23.6,-12994.5,M15,trendflex,1.73,reversion,1.31,1.62
2818,47.3,50.0,-2.7,-2.86,27.3,27.3,-13427.7,M15,trendflex,1.73,reversion,1.87,1.87
2807,43.68,45.5,-1.82,-1.94,27.3,32.7,-12312.9,M15,trendflex,1.73,reversion,1.87,2.24
1581,48.89,50.0,-1.11,-0.88,19.1,19.1,-5885.8,M15,trendflex,2.1,continuation,1.31,1.31
1581,44.72,44.73,-0.01,-0.01,19.1,23.6,-5225.5,M15,trendflex,2.1,continuation,1.31,1.62
1581,51.04,50.0,1.04,0.83,27.3,27.3,-4337.8,M15,trendflex,2.1,continuation,1.87,1.87
1579,46.99,45.5,1.49,1.19,27.3,32.7,-3824.2,M15,trendflex,2.1,continuation,1.87,2.24
1581,47.31,50.0,-2.69,-2.14,19.1,19.1,-6840.8,M15,trendflex,2.1,reversion,1.31,1.31
1581,42.25,44.73,-2.48,-1.98,19.1,23.6,-6890.8,M15,trendflex,2.1,reversion,1.31,1.62
1581,47.69,50.0,-2.31,-1.84,27.3,27.3,-7188.8,M15,trendflex,2.1,reversion,1.87,1.87
1580,42.85,45.5,-2.65,-2.12,27.3,32.7,-7706.6,M15,trendflex,2.1,reversion,1.87,2.24
10216,48.47,50.0,-1.53,-3.09,19.1,19.1,-39664.0,M15,reflex,0.83,continuation,1.31,1.31
9906,43.82,44.73,-0.91,-1.82,19.1,23.6,-36525.7,M15,reflex,0.83,continuation,1.31,1.62
8889,48.68,50.0,-1.32,-2.49,27.3,27.3,-35770.5,M15,reflex,0.83,continuation,1.87,1.87
8475,44.51,45.5,-0.99,-1.84,27.3,32.7,-33041.7,M15,reflex,0.83,continuation,1.87,2.24
10216,49.57,50.0,-0.43,-0.87,19.1,19.1,-35401.6,M15,reflex,0.83,reversion,1.31,1.31
