tf,sigset,thr,sl_atr,tp_atr,sl_pip,tp_pip,n,wr,be,lift,z,net_pip
H4,union,0.97,1.87,2.24,119.8,143.6,749,47.53,45.48,2.05,1.13,-747.7
H4,union,0.97,1.87,2.61,119.8,167.3,718,43.45,41.73,1.73,0.94,-3061.4
H4,union,0.97,1.53,1.91,98.1,122.4,816,46.45,44.49,1.96,1.12,-526.6
H4,union,0.97,2.23,2.68,142.9,171.7,680,47.21,45.42,1.78,0.93,-483.3
H4,union,1.17,1.87,1.87,119.8,119.8,675,52.59,50.0,2.59,1.35,1750.2
H4,union,1.17,1.87,2.24,119.8,143.6,639,49.3,45.48,3.81,1.94,2866.8
H4,union,1.17,1.87,2.61,119.8,167.3,612,46.08,41.73,4.35,2.18,1431.1
H4,union,1.17,1.53,1.91,98.1,122.4,703,46.51,44.49,2.03,1.08,-271.9
H4,union,1.17,2.23,2.68,142.9,171.7,584,47.77,45.42,2.35,1.14,876.5
H4,union,1.38,1.87,1.87,119.8,119.8,531,52.92,50.0,2.92,1.35,1507.8
H4,union,1.38,1.87,2.24,119.8,143.6,510,49.8,45.48,4.32,1.96,2467.7
H4,union,1.38,1.87,2.61,119.8,167.3,489,45.81,41.73,4.08,1.83,185.1
H4,union,1.38,1.53,1.91,98.1,122.4,546,47.07,44.49,2.58,1.21,207.8
H4,union,1.38,2.23,2.68,142.9,171.7,467,47.97,45.42,2.54,1.1,90.7
H4,union,1.61,1.87,1.87,119.8,119.8,392,54.34,50.0,4.34,1.72,2727.1
H4,union,1.61,1.87,2.24,119.8,143.6,373,48.79,45.48,3.31,1.28,1237.5
H4,union,1.61,1.87,2.61,119.8,167.3,364,46.43,41.73,4.7,1.82,1325.6
H4,union,1.61,1.53,1.91,98.1,122.4,400,47.75,44.49,3.26,1.31,865.1
H4,union,1.61,2.23,2.68,142.9,171.7,360,50.0,45.42,4.58,1.74,1739.6
H4,union,1.83,1.87,1.87,119.8,119.8,275,51.27,50.0,1.27,0.42,69.7
H4,union,1.83,1.87,2.24,119.8,143.6,270,47.41,45.48,1.93,0.64,73.4
H4,union,1.83,1.87,2.61,119.8,167.3,261,44.44,41.73,2.72,0.89,-0.6
H4,union,1.83,1.53,1.91,98.1,122.4,277,45.85,44.49,1.36,0.45,-538.7
H4,union,1.83,2.23,2.68,142.9,171.7,258,47.67,45.42,2.25,0.73,689.1
H4,union,2.07,1.87,1.87,119.8,119.8,156,53.85,50.0,3.85,0.96,727.7
H4,union,2.07,1.87,2.24,119.8,143.6,155,45.81,45.48,0.32,0.08,-867.2
H4,union,2.07,1.87,2.61,119.8,167.3,154,44.81,41.73,3.08,0.77,-630.3
H4,union,2.07,1.53,1.91,98.1,122.4,157,47.13,44.49,2.64,0.67,-35.5
H4,union,2.07,2.23,2.68,142.9,171.7,151,47.68,45.42,2.26,0.56,-274.3
H4,union,2.31,1.87,1.87,119.8,119.8,66,53.03,50.0,3.03,0.49,525.5
H4,union,2.31,1.87,2.24,119.8,143.6,65,49.23,45.48,3.75,0.61,252.8
H4,union,2.31,1.87,2.61,119.8,167.3,65,47.69,41.73,5.96,0.98,524.9
H4,union,2.31,1.53,1.91,98.1,122.4,66,48.48,44.49,4.0,0.65,531.1
H4,union,2.31,2.23,2.68,142.9,171.7,64,53.12,45.42,7.7,1.24,945.2
