signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,bar_dt
49689,49690,49692,long,1410.08,1410.69,win,2.8000000000012735,80.0,2,2019-07-10 15:00:00
49739,49740,49742,long,1411.29,1416.24,win,46.20000000000046,80.0,2,2019-07-12 19:00:00
49804,49805,49807,long,1411.81,1423.5900000000001,win,114.500000000002,80.0,2,2019-07-17 16:00:00
49872,49873,49877,long,1428.6,1428.2900000000002,loss,-6.39999999999718,80.0,4,2019-07-22 16:00:00
49935,49936,49938,long,1425.61,1427.18,win,12.400000000001636,80.0,2,2019-07-25 10:00:00
49991,49992,49994,long,1424.5,1426.9,win,20.70000000000091,80.0,2,2019-07-29 21:00:00
50059,50060,50062,long,1438.39,1445.27,win,65.49999999999882,80.0,2,2019-08-01 20:00:00
50107,50108,50110,long,1468.42,1474.0,win,52.499999999999275,80.0,2,2019-08-05 23:00:00
50173,50174,50176,long,1501.74,1507.02,win,49.49999999999973,80.0,2,2019-08-08 20:00:00
50231,50232,50234,long,1525.76,1532.5600000000002,win,64.70000000000182,80.0,2,2019-08-13 10:00:00
50287,50288,50291,long,1523.76,1524.3000000000002,win,2.10000000000191,80.0,3,2019-08-15 20:00:00
50345,50346,50348,long,1499.41,1504.5700000000002,win,48.30000000000082,80.0,2,2019-08-20 10:00:00
50397,50398,50400,long,1502.45,1502.0900000000001,loss,-6.899999999998999,80.0,2,2019-08-22 16:00:00
50465,50466,50468,long,1532.73,1542.14,win,90.80000000000082,80.0,2,2019-08-27 16:00:00
50559,50560,50570,long,1528.7,1530.6100000000001,win,15.800000000000818,80.0,10,2019-09-02 19:00:00
50733,50734,50736,long,1512.54,1519.75,win,68.80000000000037,80.0,2,2019-09-12 14:00:00
50806,50807,50827,long,1505.73,1505.88,loss,-1.7999999999990903,80.0,20,2019-09-17 19:00:00
50867,50868,50874,long,1504.88,1504.44,loss,-7.7000000000005455,80.0,6,2019-09-20 11:00:00
50918,50919,50921,long,1522.56,1535.0400000000002,win,121.50000000000246,80.0,2,2019-09-24 17:00:00
51048,51049,51051,long,1495.47,1501.46,win,56.600000000000094,80.0,2,2019-10-02 17:00:00
51117,51118,51120,long,1498.51,1504.2,win,53.60000000000055,80.0,2,2019-10-08 10:00:00
51279,51280,51282,long,1493.2,1495.75,win,22.199999999999545,80.0,2,2019-10-17 16:00:00
51364,51365,51367,long,1492.76,1494.3700000000001,win,12.800000000001273,80.0,2,2019-10-23 10:00:00
51414,51415,51417,long,1509.08,1517.3100000000002,win,79.00000000000246,80.0,2,2019-10-25 14:00:00
51486,51487,51489,long,1494.57,1494.0400000000002,loss,-8.599999999997454,80.0,2,2019-10-30 17:00:00
51536,51537,51539,long,1512.97,1512.43,loss,-8.699999999999637,80.0,2,2019-11-01 21:00:00
51738,51739,51741,long,1473.32,1473.94,win,2.9000000000011825,80.0,2,2019-11-14 18:00:00
51805,51806,51808,long,1473.2,1474.3600000000001,win,8.300000000000818,80.0,2,2019-11-19 17:00:00
51868,51869,51871,long,1471.17,1471.96,win,4.599999999999636,80.0,2,2019-11-22 11:00:00
51985,51986,51988,long,1464.06,1464.0700000000002,loss,-3.199999999997817,80.0,2,2019-11-29 18:00:00
52074,52075,52077,long,1479.02,1478.6000000000001,loss,-7.499999999998454,80.0,2,2019-12-05 18:00:00
52137,52138,52140,long,1466.44,1467.1000000000001,win,3.3000000000008187,80.0,2,2019-12-10 13:00:00
52185,52186,52186,long,1482.77,1474.77,loss,-83.3,80.0,0,2019-12-12 15:00:00
52248,52249,52251,long,1478.27,1479.91,win,13.100000000001,80.0,2,2019-12-17 10:00:00
52302,52303,52305,long,1478.75,1481.16,win,20.800000000000818,80.0,2,2019-12-19 18:00:00
52350,52351,52353,long,1485.55,1485.39,loss,-4.899999999998545,80.0,2,2019-12-23 21:00:00
52412,52413,52415,long,1513.86,1513.52,loss,-6.699999999999181,80.0,2,2019-12-27 18:00:00
52471,52472,52475,long,1520.79,1521.8200000000002,win,7.000000000002001,80.0,3,2020-01-02 10:00:00
52519,52520,52523,long,1578.75,1570.75,loss,-83.3,80.0,3,2020-01-06 13:00:00
52612,52613,52615,long,1553.35,1560.44,win,67.60000000000146,80.0,2,2020-01-10 16:00:00
52663,52664,52666,long,1546.94,1549.38,win,21.100000000000545,80.0,2,2020-01-14 22:00:00
52722,52723,52725,long,1556.76,1559.1200000000001,win,20.300000000001273,80.0,2,2020-01-17 12:00:00
52784,52785,52787,long,1556.22,1558.39,win,18.400000000000727,80.0,2,2020-01-22 10:00:00
52836,52837,52839,long,1564.36,1573.1200000000001,win,84.30000000000219,80.0,2,2020-01-24 16:00:00
52899,52900,52902,long,1570.76,1571.8700000000001,win,7.8000000000012735,80.0,2,2020-01-29 11:00:00
52947,52948,52950,long,1580.58,1581.5800000000002,win,6.700000000002274,80.0,2,2020-01-31 13:00:00
53037,53038,53041,long,1566.84,1566.68,loss,-4.899999999998545,80.0,3,2020-02-06 12:00:00
53088,53089,53091,long,1574.34,1576.13,win,14.60000000000191,80.0,2,2020-02-10 18:00:00
53150,53151,53153,long,1575.2,1574.8000000000002,loss,-7.299999999998636,80.0,2,2020-02-13 11:00:00
53214,53215,53219,long,1588.67,1591.27,win,22.69999999999909,80.0,4,2020-02-18 11:00:00
53262,53263,53265,long,1617.47,1618.5400000000002,win,7.400000000001637,80.0,2,2020-02-20 13:00:00
53350,53351,53354,long,1651.4,1643.4,loss,-83.3,80.0,3,2020-02-26 10:00:00
53448,53449,53451,long,1633.33,1648.72,win,150.600000000001,80.0,2,2020-03-03 17:00:00
53496,53497,53499,long,1667.01,1671.43,win,40.90000000000073,80.0,2,2020-03-05 19:00:00
53581,53582,53584,long,1664.95,1670.63,win,53.50000000000064,80.0,2,2020-03-11 12:00:00
53769,53770,53772,long,1542.55,1560.6100000000001,win,177.30000000000172,80.0,2,2020-03-23 17:00:00
53832,53833,53835,long,1609.19,1620.5900000000001,win,110.70000000000091,80.0,2,2020-03-26 11:00:00
53922,53923,53925,long,1593.21,1594.48,win,9.399999999999817,80.0,2,2020-04-01 10:00:00
53972,53973,53973,long,1619.1,1611.1,loss,-83.3,80.0,0,2020-04-03 14:00:00
54038,54039,54040,long,1651.62,1643.62,loss,-83.3,80.0,1,2020-04-08 12:00:00
54086,54087,54089,long,1691.48,1692.25,win,4.399999999999818,80.0,2,2020-04-13 14:00:00
54151,54152,54154,long,1722.68,1724.02,win,10.09999999999918,80.0,2,2020-04-16 10:00:00
54200,54201,54203,long,1687.05,1691.7800000000002,win,44.00000000000246,80.0,2,2020-04-20 14:00:00
54248,54249,54251,long,1708.48,1710.92,win,21.100000000000545,80.0,2,2020-04-22 16:00:00
54335,54336,54338,long,1708.19,1711.5600000000002,win,30.40000000000118,80.0,2,2020-04-28 12:00:00
54413,54414,54415,long,1702.75,1694.75,loss,-83.3,80.0,1,2020-05-01 21:00:00
54470,54471,54475,long,1706.22,1698.22,loss,-83.3,80.0,4,2020-05-06 10:00:00
54518,54519,54521,long,1721.7,1713.7,loss,-83.3,80.0,2,2020-05-08 12:00:00
54567,54568,54570,long,1708.73,1710.41,win,13.500000000000636,80.0,2,2020-05-12 16:00:00
54617,54618,54622,long,1732.99,1733.52,win,1.9999999999997273,80.0,4,2020-05-14 21:00:00
54681,54682,54686,long,1743.67,1745.3000000000002,win,13.00000000000109,80.0,4,2020-05-19 17:00:00
54743,54744,54746,long,1736.09,1736.44,win,0.20000000000136442,80.0,2,2020-05-22 10:00:00
54832,54833,54835,long,1724.25,1725.44,win,8.600000000000545,80.0,2,2020-05-28 12:00:00
54904,54905,54906,long,1744.6,1736.6,loss,-83.3,80.0,1,2020-06-02 16:00:00
55017,55018,55020,long,1716.31,1720.1000000000001,win,34.60000000000191,80.0,2,2020-06-09 15:00:00
55065,55066,55066,long,1743.42,1735.42,loss,-83.3,80.0,0,2020-06-11 17:00:00
55129,55130,55131,long,1730.47,1722.47,loss,-83.3,80.0,1,2020-06-16 13:00:00
55195,55196,55199,long,1731.89,1731.51,loss,-7.100000000001091,80.0,3,2020-06-19 10:00:00
55244,55245,55247,long,1757.79,1766.72,win,86.00000000000064,80.0,2,2020-06-23 14:00:00
55317,55318,55320,long,1766.58,1769.4,win,24.900000000001636,80.0,2,2020-06-26 18:00:00
55365,55366,55369,long,1782.35,1783.17,win,4.900000000001637,80.0,3,2020-06-30 21:00:00
55446,55447,55449,long,1779.31,1786.3300000000002,win,66.9000000000021,80.0,2,2020-07-06 14:00:00
55494,55495,55497,long,1810.31,1813.26,win,26.200000000000454,80.0,2,2020-07-08 16:00:00
55557,55558,55560,long,1807.59,1808.9,win,9.800000000001727,80.0,2,2020-07-13 11:00:00
55611,55612,55618,long,1812.39,1812.5400000000002,loss,-1.7999999999990903,80.0,6,2020-07-15 19:00:00
55671,55672,55675,long,1811.95,1814.7,win,24.2,80.0,3,2020-07-20 11:00:00
55724,55725,55727,long,1864.16,1867.15,win,26.60000000000009,80.0,2,2020-07-22 18:00:00
55774,55775,55777,long,1902.47,1914.65,win,118.50000000000064,80.0,2,2020-07-24 22:00:00
55839,55840,55842,long,1960.38,1980.2,win,194.89999999999935,80.0,2,2020-07-29 19:00:00
55921,55922,55925,long,1977.69,1969.69,loss,-83.3,80.0,3,2020-08-04 10:00:00
55970,55971,55973,long,2050.31,2064.21,win,135.7000000000009,80.0,2,2020-08-06 13:00:00
56018,56019,56019,long,2047.46,2039.46,loss,-83.3,80.0,0,2020-08-10 16:00:00
56132,56133,56135,long,1972.71,1986.0,win,129.59999999999962,80.0,2,2020-08-17 16:00:00
56298,56299,56301,long,1952.18,1955.89,win,33.80000000000037,80.0,2,2020-08-26 22:00:00
56377,56378,56383,long,1991.93,1983.93,loss,-83.3,80.0,5,2020-09-01 10:00:00
56516,56517,56519,long,1947.37,1946.89,loss,-8.099999999997909,80.0,2,2020-09-09 16:00:00
56583,56584,56586,long,1956.01,1959.46,win,31.200000000000454,80.0,2,2020-09-14 15:00:00
56632,56633,56635,long,1966.89,1958.89,loss,-83.3,80.0,2,2020-09-16 18:00:00
