signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,t_entry,t_exit,src_card
2003,22221,22229,short,1811.11,1789.0057,win,217.74299999999965,221.04299999999984,1,1623888000000000000,1623916800000000000,H8-short
2677,22317,22323,short,1765.98,1784.6853,loss,-190.3530000000008,187.0530000000001,1,1624233600000000000,1624255200000000000,H6-short
4044,22685,22737,long,1800.68,1815.59255,win,145.8255000000001,149.12549999999985,13,1625558400000000000,1625745600000000000,H4-long
4082,22885,22933,long,1828.5,1813.58745,loss,-152.4255000000001,149.12549999999985,12,1626278400000000000,1626451200000000000,H4-long
2113,23437,23493,short,1776.43,1754.3257,win,217.74299999999965,221.04299999999984,1,1628265600000000000,1628467200000000000,H8-short
4275,23945,24037,long,1816.79,1801.87745,loss,-152.4255000000001,149.12549999999985,11,1630094400000000000,1630425600000000000,H4-long
2200,24421,24565,short,1762.51,1784.6143,loss,-224.34299999999968,221.04299999999984,12,1631808000000000000,1632326400000000000,H8-short
4472,25073,25113,long,1792.49,1777.57745,loss,-152.4255000000001,149.12549999999985,10,1634155200000000000,1634299200000000000,H4-long
4579,25693,25737,long,1821.67,1836.58255,win,145.8255000000001,149.12549999999985,11,1636387200000000000,1636545600000000000,H4-long
4988,28029,28057,long,1860.0,1874.91255,win,145.8255000000001,149.12549999999985,7,1644796800000000000,1644897600000000000,H4-long
5010,28117,28221,long,1895.77,1910.68255,win,145.8255000000001,149.12549999999985,14,1645113600000000000,1645488000000000000,H4-long
5038,28277,28281,long,1940.31,1955.22255,win,145.8255000000001,149.12549999999985,1,1645689600000000000,1645704000000000000,H4-long
5079,28537,28541,long,1997.69,1982.77745,loss,-152.4255000000001,149.12549999999985,1,1646625600000000000,1646640000000000000,H4-long
5081,28545,28545,long,1997.81,1982.89745,loss,-152.4255000000001,149.12549999999985,0,1646654400000000000,1646654400000000000,H4-long
5089,28577,28577,long,2029.71,2044.62255,win,145.8255000000001,149.12549999999985,0,1646769600000000000,1646769600000000000,H4-long
5231,29385,29389,long,1956.83,1941.91745,loss,-152.4255000000001,149.12549999999985,1,1649678400000000000,1649692800000000000,H4-long
5238,29413,29541,long,1970.23,1985.14255,win,145.8255000000001,149.12549999999985,14,1649779200000000000,1650240000000000000,H4-long
5491,30833,30893,long,1871.48,1856.56745,loss,-152.4255000000001,149.12549999999985,3,1654891200000000000,1655107200000000000,H4-long
3692,30903,30927,short,1827.24,1808.5347,win,183.75300000000078,187.0530000000001,4,1655143200000000000,1655229600000000000,H6-short
3747,31329,31389,short,1794.59,1813.2953,loss,-190.3530000000008,187.0530000000001,2,1656676800000000000,1656892800000000000,H6-short
3756,31431,31449,short,1767.51,1748.8047,win,183.75300000000078,187.0530000000001,3,1657044000000000000,1657108800000000000,H6-short
5693,31977,31993,long,1745.53,1760.44255,win,145.8255000000001,149.12549999999985,4,1659009600000000000,1659067200000000000,H4-long
5698,31997,32085,long,1761.31,1776.22255,win,145.8255000000001,149.12549999999985,10,1659081600000000000,1659398400000000000,H4-long
3888,32511,32577,short,1747.91,1729.2047,win,183.75300000000078,187.0530000000001,3,1660932000000000000,1661169600000000000,H6-short
3924,32823,32841,short,1692.11,1710.8153,loss,-190.3530000000008,187.0530000000001,3,1662055200000000000,1662120000000000000,H6-short
3964,33159,33303,short,1668.24,1686.9453,loss,-190.3530000000008,187.0530000000001,16,1663264800000000000,1663783200000000000,H6-short
2996,33429,33469,short,1622.8,1644.9043,loss,-224.34299999999968,221.04299999999984,5,1664236800000000000,1664380800000000000,H8-short
5981,33609,33613,long,1708.68,1723.59255,win,145.8255000000001,149.12549999999985,1,1664884800000000000,1664899200000000000,H4-long
5983,33617,33633,long,1723.12,1708.2074499999999,loss,-152.4255000000001,149.12549999999985,4,1664913600000000000,1664971200000000000,H4-long
6133,34457,34497,long,1714.84,1729.75255,win,145.8255000000001,149.12549999999985,10,1667937600000000000,1668081600000000000,H4-long
6145,34505,34517,long,1748.26,1763.17255,win,145.8255000000001,149.12549999999985,3,1668110400000000000,1668153600000000000,H4-long
6231,34993,35001,long,1775.68,1790.59255,win,145.8255000000001,149.12549999999985,2,1669867200000000000,1669896000000000000,H4-long
6313,35465,35509,long,1817.83,1802.91745,loss,-152.4255000000001,149.12549999999985,11,1671566400000000000,1671724800000000000,H4-long
6359,35789,35813,long,1840.25,1855.16255,win,145.8255000000001,149.12549999999985,6,1672732800000000000,1672819200000000000,H4-long
6366,35817,35837,long,1860.4,1845.48745,loss,-152.4255000000001,149.12549999999985,5,1672833600000000000,1672905600000000000,H4-long
6621,37269,37305,long,1854.11,1839.19745,loss,-152.4255000000001,149.12549999999985,9,1678060800000000000,1678190400000000000,H4-long
6650,37385,37437,long,1864.14,1879.05255,win,145.8255000000001,149.12549999999985,1,1678478400000000000,1678665600000000000,H4-long
6752,37985,38029,long,2020.67,2005.75745,loss,-152.4255000000001,149.12549999999985,11,1680638400000000000,1680796800000000000,H4-long
6872,38681,38681,long,2023.96,2038.87255,win,145.8255000000001,149.12549999999985,0,1683144000000000000,1683144000000000000,H4-long
6878,38705,38721,long,2050.52,2035.60745,loss,-152.4255000000001,149.12549999999985,4,1683230400000000000,1683288000000000000,H4-long
4653,39039,39063,short,1955.3,1974.0053,loss,-190.3530000000008,187.0530000000001,4,1684432800000000000,1684519200000000000,H6-short
4731,39699,39705,short,1935.1,1953.8053,loss,-190.3530000000008,187.0530000000001,1,1686808800000000000,1686830400000000000,H6-short
4753,39879,39897,short,1915.23,1933.9353,loss,-190.3530000000008,187.0530000000001,3,1687456800000000000,1687521600000000000,H6-short
7172,40361,40501,long,1959.14,1974.05255,win,145.8255000000001,149.12549999999985,23,1689192000000000000,1689696000000000000,H4-long
7376,41513,41577,long,1936.24,1951.15255,win,145.8255000000001,149.12549999999985,16,1693339200000000000,1693569600000000000,H4-long
7472,42041,42041,long,1946.6,1931.68745,loss,-152.4255000000001,149.12549999999985,0,1695240000000000000,1695240000000000000,H4-long
3773,42205,42229,short,1891.6,1869.4957,win,217.74299999999965,221.04299999999984,3,1695830400000000000,1695916800000000000,H8-short
3780,42309,42333,short,1847.6,1825.4957,win,217.74299999999965,221.04299999999984,3,1696204800000000000,1696291200000000000,H8-short
5043,42339,42477,short,1817.2,1835.9053000000001,loss,-190.3530000000008,187.0530000000001,15,1696312800000000000,1696809600000000000,H6-short
7573,42589,42593,long,1913.21,1928.12255,win,145.8255000000001,149.12549999999985,1,1697212800000000000,1697227200000000000,H4-long
